SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,63533.5952756992020870
ETH,Ethereum,2616.2526260394916467
USDT,Tether,1.0001897415694789
BNB,BNB,594.6439005931362429
SOL,Solana,150.1629491462784328
USDC,USDC,1.0002475280815759
XRP,XRP,0.5887992280193794
STETH,Lido Staked ETH,2605.7064457094376548
DOGE,Dogecoin,0.1089644127757707
ADA,Cardano,0.3817312479711287
TRX,TRON,0.1507412232961908
AVAX,Avalanche,27.6901727432150416
WBTC,Wrapped Bitcoin,63354.9483620223064433
SHIB,Shiba Inu,0.0000150936016373
LINK,Chainlink,12.3375305594583049
BCH,Bitcoin Cash,346.4779373459537754
DOT,Polkadot,4.6658936922092548
NEAR,NEAR Protocol,5.2296948689855625
DAI,Multi Collateral DAI,0.9992408920831602
LEO,UNUS SED LEO,5.7365101454588272
LTC,Litecoin,66.5478924567669753
ICP,Internet Computer,9.1826563648868777
FET,Artificial Superintelligence Alliance,1.6685366172537852
UNI,Uniswap,6.8473149977417220
XMR,Monero,167.9818201258565119
ETC,Ethereum Classic,19.4165268920639836
STX,Stacks,1.9303181453476152
XLM,Stellar,0.0965846872997209
AAVE,Aave,166.5682287185273923
OKB,OKB,39.8322580596760899
FIL,Filecoin,3.9192539938004435
CRO,Crypto.com Coin,0.0857893618797981
VET,VeChain,0.0248816028719295
FTM,Fantom,0.6735129058822117
GRT,The Graph,0.1805904736791853
RUNE,THORChain,4.9642163308994415
INJ,Injective,21.5075744499302745
AR,Arweave,22.2196315489857274
MKR,Maker,1576.5755379721557201
THETA,THETA,1.3889491348907622
HNT,Helium,7.6004721950019986
ATOM,Cosmos,4.7637200237875513
ALGO,Algorand,0.1397571155976977
MATIC,Polygon,0.3858535407757851
LDO,Lido DAO,1.2590924030528291
BSV,Bitcoin SV,50.5342763709090704
KCS,KuCoin Token,8.1272904728202414
QNT,Quant,78.7704882172577141
FLOW,Flow,0.6144281737913311
HBAR,Hedera Hashgraph,0.0587140967223186
GT,GateToken,8.8217596845983832
EOS,EOS,0.5284660580482332
AXS,Axie Infinity,5.1570039995130570
GALA,Gala,0.0216572132952641
CKB,Nervos Network,0.0163020613484185
NEO,Neo,10.3858257969713162
XTZ,Tezos,0.7031122796209532
AKT,Akash Network,2.8369176450549702
EGLD,MultiversX,29.0238304046765222
CFX,Conflux,0.1581340479544416
XEC,eCash,0.0000342334992985
PENDLE,Pendle,4.1756867736614286
SAND,The Sandbox,0.2798198173034363
MINA,Mina,0.5488399009205159
MANA,Decentraland,0.3145725132315464
NEXO,Nexo,1.0526543472688775
CHZ,Chiliz,0.0644100328038202
OM,MANTRA DAO,1.1584831159890976
AIOZ,AIOZ Network,0.4916287388251487
CAKE,PancakeSwap,2.0376852558172123
KLAY,Klaytn,0.1362101996812921
ROSE,Oasis,0.0733237615955118
SUPER,SuperVerse,1.0526647916579164
LPT,Livepeer,14.7316138586614310
DEXE,DeXe,8.7757281288489691
TUSD,TrueUSD,0.9988032981775482
IOTA,IOTA,0.1431622101645759
ZEC,Zcash,29.4318290577606157
FTT,FTX Token,1.4021042951712680
COMP,Compound,49.9213942011191911
TFUEL,Theta Fuel,0.0651731599421724
IOTX,IoTeX,0.0454542492439241
GNO,Gnosis,165.2609713106421976
KAVA,Kava,0.3828182158355433
FEI,Fei Protocol,0.9732863883377528
RAY,Raydium,1.5585115603025057
NXM,NXM,59.0799955660898190
SNX,Synthetix,1.6519936964792892
1INCH,1inch Network,0.2955105330984376
TWT,Trust Wallet Token,0.8793155492087626
CELO,Celo,0.6612115100575562
CRV,Curve DAO Token,0.3012851595302017
XDC,XinFin Network,0.0286516118313876
WOO,WOO,0.1910659337675198
RSR,Reserve Rights,0.0067669681813581
KSM,Kusama,21.9787107163198053
GLM,Golem,0.3349714472103906
AMP,Amp,0.0041098990868377
HOT,Holo,0.0018164552009595
DASH,Dash,25.7087413038664124
